date,description,amount,category
2026-01-05,Albert Heijn,45.60,groceries
2026-01-12,Shell Station,55.00,transport
2026-01-18,Netflix Subscription,13.99,entertainment
2026-01-25,Bol.com,89.50,shopping
2026-02-03,Jumbo Supermarket,72.30,groceries
2026-02-10,NS Train Ticket,24.80,transport
2026-02-15,Spotify Premium,10.99,entertainment
2026-02-22,IKEA,120.00,shopping
2026-03-02,Albert Heijn,38.75,groceries
2026-03-09,Shell,65.40,transport
2026-03-14,Cinema Ticket,18.50,entertainment
2026-03-28,Amazon Purchase,56.99,shopping
2026-04-06,Lidl,54.20,groceries
2026-04-13,Bus Card Top Up,30.00,transport
2026-04-20,YouTube Premium,11.99,entertainment
2026-04-27,MediaMarkt,249.00,shopping
2026-05-04,Albert Heijn,62.45,groceries
2026-05-11,Shell Fuel,70.25,transport
2026-05-19,Restaurant Dinner,45.00,food
2026-05-25,HEMA,35.90,shopping

